price,rsi,upper_bb,lower_bb,gain_loss
0.00071822,59.30186229,0.000715107,0.000575408,0
0.00071822,59.30186229,0.000725876,0.000574974,0
0.00071822,59.30186229,0.000735209,0.000575217,0
0.00071822,59.30186229,0.000742618,0.000578293,0
0.00071822,59.30186229,0.000748824,0.000582272,0
0.00071822,59.30186229,0.000754652,0.000585242,0
0.00071822,59.30186229,0.000759307,0.000589699,0
0.00071822,59.30186229,0.000762925,0.000595193,0
0.00071822,59.30186229,0.000766015,0.000600585,0
0.00071822,59.30186229,0.000768155,0.000606927,0
0.00071822,59.30186229,0.000769267,0.000614297,0
0.00071822,59.30186229,0.00076922,0.000622826,0
0.00071822,59.30186229,0.000767793,0.000632735,0
0.00283078,98.96234206,0.001763229,-0.000142963,1
0.00280002,97.47288088,0.00221693,-0.000380002,0
0.00294594,97.65331829,0.002608262,-0.00054008,1
0.00273583,87.91910784,0.002873488,-0.000596022,0
0.00291937,88.95485518,0.00314285,-0.000642326,1
0.00289335,87.80554302,0.003369208,-0.000651171,0
0.00304822,88.73819782,0.003596363,-0.000645326,1
0.0032111,89.63598165,0.00382412,-0.000623795,1
0.00325203,89.85484905,0.00402666,-0.000572954,1
0.00325404,89.86616694,0.00419848,-0.000491192,1
0.0033661,90.50232313,0.004359775,-0.000387699,1
0.00318532,81.6025638,0.004462043,-0.000243257,0
0.00328116,82.58055288,0.004549992,-7.49E-05,1
0.00325935,81.5185476,0.004603638,0.000125555,0
0.00324076,80.56746767,0.004620816,0.000360631,0
0.00329826,81.29441833,0.004605447,0.000634004,1
0.00329674,81.2079346,0.00453985,0.000957453,0
0.00336372,82.11105305,0.004412735,0.001349118,1
0.00349589,83.7687135,0.004186063,0.001853557,1
0.00357028,84.63188624,0.003634737,0.002690089,1
0.00365898,85.61424724,0.003698421,0.002709225,1
0.00367229,85.7613291,0.003745928,0.002748945,1
0.00373511,86.46472244,0.003809264,0.002764526,1
0.00379478,87.11579474,0.003841279,0.002838406,1
0.00380257,87.20234306,0.003885086,0.002882919,1
0.00385683,87.81625866,0.003919719,0.002944634,1
0.0038466,86.96917929,0.003958006,0.002986185,0
0.00391053,87.76354167,0.004014104,0.00300003,1
0.00400465,88.84198139,0.004082801,0.003006595,1
0.00405351,89.36593827,0.004149954,0.003019389,1
0.00414731,90.30696568,0.004231768,0.003015696,1
0.00420345,90.82999601,0.004298404,0.003050873,1
0.00426112,91.34655328,0.004370779,0.003076494,1
0.004307,91.74495966,0.004434429,0.003117609,1
0.00441501,92.6078101,0.004501539,0.003167924,1
0.00455934,93.57433245,0.004589046,0.003206525,1
0.00466157,94.15707354,0.004676656,0.003255398,1
0.0047061,94.39549939,0.004757686,0.003308606,1
0.00484966,95.09097736,0.004865855,0.003335814,1
0.00497488,95.60346345,0.00498719,0.003354939,1
0.00502917,95.8078062,0.005103352,0.003375796,1
0.00510412,96.07876769,0.005213462,0.003408869,1
0.00516823,96.29911639,0.005319466,0.003446177,1
0.00529801,96.70301434,0.005436271,0.003479695,1
0.00539695,96.97413613,0.005550355,0.003525049,1
0.00547226,97.16522335,0.005659758,0.003577189,1
0.003,30.05803624,0.005802016,0.003350271,0
0.003,30.05803624,0.005917614,0.00314362,0
0.003,30.05803624,0.00601274,0.002948029,0
0.003,30.05803624,0.006088867,0.002766551,0
0.003,30.05803624,0.006147466,0.002593221,0
0.003,30.05803624,0.006189636,0.002430706,0
0.003,30.05803624,0.006216003,0.002278227,0
0.0035,43.35093194,0.006203368,0.002210162,1
0.0043,57.32589971,0.006195753,0.002206276,1
0.0042,55.48336559,0.006170658,0.002195437,0
0.0035,44.66193019,0.006121568,0.00212837,0
0.0039,50.59207531,0.006064342,0.002104986,1
0.0041,53.28751121,0.005993987,0.002100375,1
0.0044,57.07073307,0.005924112,0.002112762,1
0.004,51.1252436,0.005812364,0.002121593,0
0.0045,57.13639363,0.005722603,0.002150942,1
0.0046,58.24256262,0.005628575,0.002188147,1
0.0045,56.66766343,0.00548697,0.002249951,0
0.0047,59.05247786,0.005339661,0.002327565,1
0.0045,55.74833319,0.005121571,0.002448429,0
0.0048,59.41647903,0.005231272,0.002518728,1
0.0046,56.0790573,0.005282403,0.002627597,0
0.0046,56.0790573,0.005311962,0.002758038,0
0.0045,54.31007318,0.005304549,0.002915451,0
0.0045,54.31007318,0.005269387,0.003100613,0
0.0045,54.31007318,0.005196736,0.003323264,0
0.0045,54.31007318,0.005064167,0.003605833,0
0.0046,56.16974357,0.005012051,0.003767949,1
0.005,62.70817823,0.005102068,0.003747932,1
0.005,62.70817823,0.005179585,0.003750415,0
0.005,62.70817823,0.005132586,0.003947414,0
0.005,62.70817823,0.005139736,0.004050264,0
0.005,62.70817823,0.005160728,0.004119272,0
0.005,62.70817823,0.005201532,0.004138468,0
0.0044,46.48289451,0.005139093,0.004240907,0
0.0058,67.56881022,0.005415064,0.004094936,1
0.0054,60.26301725,0.005510174,0.004079826,0
0.0066,70.55042685,0.005964252,0.003835748,1
0.0055,56.19002766,0.006032366,0.003847634,0
0.0065,63.4697038,0.006313867,0.003766133,1
0.0068,65.33088141,0.006630178,0.003649822,1
0.008,71.57038781,0.007248963,0.003371037,1
0.0058,52.8065603,0.007290636,0.003449364,0
0.008,63.19741122,0.007748801,0.003341199,1
0.0063,53.41123512,0.007805884,0.003464116,0
0.0081,60.40296543,0.008178116,0.003451884,1
0.007,54.97344709,0.008274546,0.003605454,0
0.014,72.13733661,0.0106312,0.0021888,1
0.0125,66.30464682,0.011746441,0.001823559,0
0.0201,76.61960771,0.015212617,-0.000132617,1
0.045,88.76002153,0.02787276,-0.00879276,1
0.075,93.28448827,0.047424293,-0.021344293,1
0.04951,68.17405057,0.053052132,-0.022521132,0
0.08584,77.47898103,0.068148412,-0.029533412,1
0.0808,74.23634526,0.078564635,-0.032309635,0
0.07474,70.42008835,0.085911242,-0.032762242,0
0.07921,71.58061541,0.093132903,-0.032602903,1
0.05149,56.71923499,0.095024316,-0.030005316,0
0.06262,60.28463984,0.097903876,-0.027172876,1
0.05454,56.6369756,0.099320271,-0.023785271,0
0.0505,54.84991678,0.09995983,-0.02005483,0
0.056,56.84620742,0.100798225,-0.016093225,1
0.06,58.2905868,0.101358719,-0.011233719,1
0.0589,57.71845722,0.101395216,-0.006180216,0
0.0699,61.76043229,0.101737858,-0.000162858,1
0.0627,57.861405,0.100536729,0.006498271,0
0.06785,59.81557835,0.098506693,0.014613307,1
0.0611,56.140707,0.095781991,0.022048009,0
0.06001,55.54723844,0.090990999,0.031590001,0
0.06,55.54143755,0.085835916,0.040735084,0
0.057,53.72865959,0.084978896,0.042792104,0
0.061,55.80009889,0.083645566,0.042725434,1
0.0623,56.48196245,0.083259118,0.044390882,1
0.059,54.19635557,0.079004785,0.045961215,0
0.0609,55.31747986,0.075583894,0.047392106,1
0.0704,60.52075989,0.074621844,0.047920156,1
0.07,60.2028692,0.072019617,0.049601383,0
0.067,57.75272387,0.072210903,0.050961097,0
0.07,59.52662246,0.073224182,0.050685818,1
0.0645,54.96962325,0.073211188,0.051694812,0
